id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,goals,assists,xG,xA,xGI
390,Gravenberch,3,2991,34,100,687.0,497.2,220.0,140.1,671,54,5,5,1.89,2.26,4.15
392,Endo,3,170,1,50,56.0,18.1,6.0,8.0,49,49,0,1,0.04,0.05,0.09
393,Bajcetic,3,0,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0.0,0.0,0.0
394,McConnell,3,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
395,Morton,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
396,Nyoni,3,21,0,0,4.2,13.4,4.0,2.1,11,43,0,0,0.37,0.02,0.39
397,Darwin,4,0,0,0,0.0,0.0,0.0,0.0,0,65,0,0,0.0,0.0,0.0
398,Danns,4,0,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0.0,0.0,0.0
499,Isak,4,694,8,100,146.4,39.2,191.0,36.9,140,103,3,1,2.59,0.08,2.67
661,Ekitiké,4,1797,21,0,525.8,307.2,739.0,156.2,433,90,11,4,10.1,2.45,12.55
686,Ngumoha,3,547,5,0,176.0,222.8,203.0,60.1,188,43,2,1,1.34,2.01,3.35
746,Morrison,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
830,Wright,4,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
82,Semenyo,3,3200,37,100,923.2,607.4,1047.0,257.7,678,80,17,6,11.1,3.12,14.21
413,Marmoush,3,691,8,100,203.2,159.8,284.0,64.4,182,83,3,3,2.78,0.77,3.55
414,Foden,3,2078,23,100,583.2,918.8,520.0,201.9,563,80,7,5,6.03,4.76,10.79
415,Savinho,3,817,7,100,138.6,198.4,321.0,65.8,140,69,1,2,2.5,1.59,4.09
416,Bernardo,3,2869,34,100,514.0,809.0,353.0,167.8,534,62,2,4,2.71,4.11,6.81
417,Cherki,3,1772,19,100,604.2,996.6,579.0,218.1,580,65,4,13,4.28,8.87,13.14
418,Doku,3,1773,19,100,540.2,841.6,645.0,202.5,526,65,5,8,2.87,5.86,8.73
420,Gündoğan,3,0,0,0,0.0,0.0,0.0,0.0,0,63,0,0,0.0,0.0,0.0
421,Rodrigo,3,1510,17,100,358.0,421.5,122.0,90.3,350,63,1,1,1.15,2.45,3.6
422,Kovačić,3,125,1,100,46.0,65.5,3.0,11.5,41,58,0,1,0.13,0.42,0.55
423,N.Gonzalez,3,1561,17,100,309.8,234.1,72.0,61.5,337,59,1,0,0.68,1.12,1.8
425,Echeverri,3,0,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0.0,0.0,0.0
427,Reijnders,3,1623,19,0,340.0,347.8,435.0,111.2,337,50,5,3,4.61,2.35,6.96
428,Nypan,3,0,0,100,0.0,0.0,0.0,0.0,0,50,0,0,0.0,0.0,0.0
429,Phillips,3,0,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0.0,0.0,0.0
430,Haaland,4,2953,34,100,1180.4,320.1,1520.0,302.3,952,147,27,8,25.5,2.67,28.17
739,Mukasa,3,25,0,0,4.2,28.3,4.0,3.7,5,44,0,0,0.0,0.21,0.21
742,McAidoo,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
763,Gray,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
764,Heskey,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
119,Mbeumo,3,2611,31,100,628.8,803.1,882.0,231.4,528,83,11,3,11.98,4.99,16.97
449,B.Fernandes,3,3065,35,100,1258.0,1938.5,614.0,381.4,1008,104,9,24,10.79,12.28,23.07
450,Cunha,3,2493,29,100,675.8,545.4,801.0,202.5,591,81,10,4,6.9,3.36,10.26
451,Rashford,3,0,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0.0,0.0,0.0
452,Amad,3,2339,27,100,436.6,596.1,600.0,163.5,463,62,2,5,5.46,4.74,10.2
