id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,clean_sheets_5,goals_conceded_5,tackles_5,defensive_contribution_5
533,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
534,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
535,3.6,2,0.0,0.2,0.16,-0.2,0,0,0,2
536,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
537,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
538,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
539,31.4,2,2.0,10.080000000000002,4.2,6.4,0,2,2,15
540,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
541,77.2,2,3.0,12.919999999999998,3.6999999999999993,14.8,1,4,8,30
542,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
678,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
683,58.4,2,2.6,9.08,0.45999999999999996,4.4,1,6,3,28
694,90.0,2,4.6,23.240000000000002,9.540000000000001,12.6,1,8,7,36
724,54.0,2,1.8,7.3199999999999985,3.9199999999999995,8.2,1,2,3,12
774,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
568,90.0,2,4.6,25.240000000000002,40.92,20.8,2,4,22,44
569,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
570,90.0,2,4.4,22.96,7.3,16.6,2,4,6,49
571,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
572,0.4,2,0.4,1.6800000000000002,0.0,1.6,0,0,0,5
573,45.8,2,3.4,5.4,1.5,10.4,2,1,5,11
574,66.2,2,2.2,7.92,5.860000000000001,8.8,1,4,8,18
575,90.0,2,3.2,11.4,0.7,15.6,2,4,5,20
576,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
577,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
578,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
745,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
750,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
804,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
603,86.6,2,2.2,21.2,30.120000000000005,14.2,1,7,11,29
604,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
605,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
606,90.0,2,3.6,23.919999999999998,2.92,13.0,1,8,5,57
607,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
608,0.4,2,0.0,0.8,2.08,0.4,0,0,1,2
609,23.2,2,0.4,2.56,0.22000000000000003,-0.2,0,3,0,7
610,35.4,2,0.8,5.08,3.18,2.6,0,4,4,11
611,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
659,48.8,2,1.8,4.88,1.2200000000000002,6.8,1,3,4,10
747,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
752,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
815,88.8,2,2.6,14.76,1.02,8.2,1,8,5,29
631,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
632,16.8,2,0.4,3.2399999999999998,0.06,2.4,0,1,3,9
633,46.6,2,2.0,11.96,15.579999999999998,7.6,0,4,6,18
634,72.0,2,2.0,14.2,0.7799999999999999,2.6,0,6,10,43
635,60.6,2,2.4,2.8,1.9400000000000002,5.2,1,3,5,9
636,90.0,2,3.4,23.96,6.380000000000001,9.2,0,7,4,37
637,58.8,2,2.0,15.479999999999999,2.84,6.4,0,5,5,29
638,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
639,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
640,41.8,2,1.2,7.24,9.540000000000001,3.2,0,4,8,18
641,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
682,40.6,2,1.2,3.56,3.1399999999999997,1.8,0,3,1,7
695,0.8,2,0.2,0.52,0.9199999999999999,0.8,0,0,0,0
709,31.0,2,1.6,6.92,2.9799999999999995,6.2,0,2,5,16
766,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
