id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,clean_sheets,goals_conceded,xGC
411,O'Reilly,2,2643,29,100,653.8,413.9,573.0,164.1,567,53,14,25,34.97
412,Vitor Reis,2,0,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0.0
740,Mfuni,2,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0
794,Alleyne,2,135,2,100,34.0,14.8,26.0,7.5,27,39,0,1,1.54
436,De Ligt,2,1170,13,0,276.6,60.2,122.0,45.7,169,49,1,20,18.73
437,Martinez,2,1229,13,100,302.8,94.9,19.0,42.0,241,48,5,15,15.22
438,Mazraoui,2,977,11,100,209.0,122.4,37.0,36.8,233,49,5,10,12.99
439,D.Leon,2,0,0,0,0.0,0.0,0.0,0.0,0,41,0,0,0.0
440,Dalot,2,2609,29,100,535.8,458.5,202.0,119.6,414,45,7,40,36.57
441,Dorgu,2,1440,15,100,469.0,394.2,341.0,120.3,321,41,4,20,19.61
442,Maguire,2,1649,19,100,381.6,62.5,184.0,63.0,315,44,7,20,22.95
443,Shaw,2,3220,38,100,560.2,314.8,97.0,97.4,449,45,10,45,44.9
444,Yoro,2,1730,18,100,327.0,83.1,124.0,53.2,191,41,2,33,26.83
445,Amass,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
446,Fredricson,2,2,0,0,4.0,0.0,0.0,0.4,4,37,0,0,0.3
447,Heaven,2,920,11,100,233.6,32.0,26.0,29.1,164,37,2,15,11.95
448,Malacia,2,15,0,0,7.6,1.5,0.0,0.9,6,37,0,1,0.58
788,Kukonki,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
473,Hall,2,2176,24,100,550.2,433.6,196.0,118.0,347,53,4,39,37.72
474,Schär,2,1089,11,100,291.2,63.6,108.0,46.4,186,52,4,13,13.85
475,Botman,2,1834,21,100,597.0,85.8,190.0,87.4,332,49,5,27,27.58
476,Burn,2,2195,25,100,525.8,107.3,186.0,82.1,286,50,6,36,30.15
477,Livramento,2,1326,14,100,219.4,199.7,42.0,46.1,252,49,6,14,18.62
478,Trippier,2,1586,18,100,288.0,488.5,14.0,79.0,225,49,5,27,21.28
479,Krafth,2,45,1,100,1.4,1.2,0.0,0.3,-8,43,0,2,0.25
480,Lascelles,2,19,0,0,10.2,0.0,7.0,1.7,0,43,0,2,0.55
481,A.Murphy,2,7,0,0,10.2,0.6,2.0,1.3,3,38,0,1,0.49
482,Ashby,2,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0
483,Pivas,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
484,Targett,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
684,Thiaw,2,2963,33,0,868.0,114.3,409.0,138.9,436,49,5,52,49.21
765,Shahar,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
