id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,goals_scored_5,assists_5
811,0.0,3,0.0,0.0,0.0,0.0,0,0
818,0.0,4,0.0,0.0,0.0,0.0,0,0
326,3.2,3,0.2,0.8400000000000001,1.06,0.6,0,0
612,0.0,3,0.0,0.0,0.0,0.0,0,0
613,84.4,3,3.6,19.4,7.619999999999999,17.6,1,0
615,89.4,3,2.4,13.239999999999998,22.560000000000002,13.8,0,1
616,0.0,3,0.0,0.0,0.0,0.0,0,0
617,0.0,3,0.0,0.0,0.0,0.0,0,0
618,0.0,3,0.0,0.0,0.0,0.0,0,0
619,0.0,3,0.0,0.0,0.0,0.0,0,0
620,0.0,3,0.0,0.0,0.0,0.0,0,0
621,0.0,3,0.0,0.0,0.0,0.0,0,0
622,0.0,3,0.0,0.0,0.0,0.0,0,0
623,2.2,3,0.2,1.08,0.1,0.6,0,0
624,89.4,4,5.6,26.560000000000002,25.9,23.0,1,3
625,0.0,4,0.0,0.0,0.0,0.0,0,0
626,0.0,4,0.0,0.0,0.0,0.0,0,0
671,34.8,4,2.6,15.4,2.6399999999999997,13.2,2,0
708,90.0,3,4.2,22.08,17.560000000000002,18.8,0,1
718,0.4,3,0.2,0.12,0.06,0.6,0,0
758,5.8,3,0.2,0.4800000000000001,0.06,0.2,0,0
785,53.0,4,1.4,8.120000000000001,18.26,6.8,0,0
791,71.8,4,3.4,16.48,4.68,14.4,2,0
802,0.0,3,0.0,0.0,0.0,0.0,0,0
642,52.2,3,1.6,6.0,12.180000000000001,7.0,0,1
643,90.0,3,2.2,10.120000000000001,11.679999999999998,11.6,0,0
644,6.8,3,0.4,1.7600000000000002,5.76,2.6,0,0
645,0.0,3,0.0,0.0,0.0,0.0,0,0
646,71.6,3,2.2,13.280000000000001,8.9,11.4,0,0
647,0.0,3,0.0,0.0,0.0,0.0,0,0
648,0.0,3,0.0,0.0,0.0,0.0,0,0
649,0.0,3,0.0,0.0,0.0,0.0,0,0
650,0.0,3,0.0,0.0,0.0,0.0,0,0
651,0.2,3,0.2,0.0,0.0,0.6,0,0
652,0.0,3,0.0,0.0,0.0,0.0,0,0
653,0.0,3,0.0,0.0,0.0,0.0,0,0
655,0.0,4,0.0,0.0,0.0,0.0,0,0
656,0.0,4,0.0,0.0,0.0,0.0,0,0
657,0.0,4,0.0,0.0,0.0,0.0,0,0
658,0.0,4,0.0,0.0,0.0,0.0,0,0
663,0.0,3,0.0,0.0,0.0,0.0,0,0
720,30.4,4,1.2,5.720000000000001,1.1,3.8,0,0
749,85.2,4,3.8,20.720000000000002,46.3,19.8,1,0
767,0.0,3,0.0,0.0,0.0,0.0,0,0
777,0.0,3,0.0,0.0,0.0,0.0,0,0
778,0.0,3,0.0,0.0,0.0,0.0,0,0
809,3.2,3,0.2,0.64,0.0,0.4,0,0
816,15.6,3,0.8,2.08,4.92,3.2,0,0
817,82.8,4,3.0,10.6,2.9800000000000004,7.8,1,0
